story_id,evaluator_code,condition,ai_used_actual,ai_guess_percent,pre_novel,pre_original,pre_rare,pre_appropriate,pre_feasible,pre_publishable,pre_tt_enjoyed,pre_tt_badly_written,pre_tt_boring,pre_tt_funny,pre_tt_twist,pre_tt_future
36d90373-ec55-4305-996f-5ab6bebec191,vwllgztz,human_5AI,1.0,15.0,5.0,6.0,4.0,8.0,6.0,5.0,7.0,6.0,4.0,3.0,3.0,6.0
79e28a95-7e95-4bb2-85d2-25325aa5ff88,itjyz3lm,human,0.0,75.0,4.0,4.0,4.0,6.0,7.0,4.0,4.0,4.0,4.0,2.0,5.0,5.0
682e286d-0a42-40d8-9595-4d2fe45ad3f2,egyh8u7m,human_1AI,1.0,41.0,4.0,4.0,3.0,6.0,6.0,6.0,5.0,6.0,3.0,4.0,3.0,2.0
f56b29de-e725-4250-bd56-550ee975ec89,ouwda0np,human_5AI,0.0,20.0,6.0,5.0,3.0,9.0,6.0,7.0,6.0,5.0,6.0,1.0,5.0,1.0
d0a5d8c4-a5d8-42e4-9e98-657545cec815,hajaudn5,human,0.0,0.0,4.0,9.0,1.0,9.0,7.0,6.0,9.0,9.0,1.0,4.0,4.0,7.0
c0002a1c-09c6-4939-8524-acc0671b187b,i98sk12w,human_5AI,1.0,45.0,2.0,4.0,3.0,5.0,3.0,2.0,3.0,5.0,4.0,2.0,2.0,2.0
6de29543-7e86-4aee-b61e-3bbdf75cfacd,l0su5uvh,human,0.0,50.0,5.0,3.0,3.0,9.0,9.0,7.0,4.0,5.0,4.0,1.0,4.0,1.0
6808d151-dca3-4897-8e05-1c8757b1b671,epp33i0v,human_1AI,1.0,67.0,6.0,5.0,5.0,6.0,7.0,6.0,6.0,7.0,3.0,7.0,3.0,2.0
b1a7866e-3258-419c-89f3-00cc260b53c5,y547hztq,human_1AI,0.0,7.0,5.0,6.0,6.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,8.0,4.0
f3a6d784-763f-41fb-b889-11f2bcba72d7,dw2dmllj,human,0.0,82.0,3.0,3.0,3.0,5.0,6.0,6.0,8.0,8.0,1.0,1.0,1.0,1.0
d485db37-7c80-485a-a99a-a6cbcaa8e5b5,g2v56yge,human_1AI,1.0,58.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,7.0,1.0,2.0,1.0
f509c7eb-889d-4726-86e2-1a074399cdc0,0sh17m41,human_1AI,1.0,50.0,4.0,4.0,4.0,5.0,3.0,3.0,2.0,4.0,7.0,2.0,2.0,2.0
3055442e-4c98-484d-a092-9838823ac08f,qwkohrpb,human,0.0,65.0,8.0,6.0,6.0,6.0,8.0,6.0,8.0,8.0,2.0,7.0,7.0,7.0
56908d7b-bb73-427c-a43d-618ff038e1f3,zi7nnn89,human_1AI,0.0,70.0,2.0,2.0,1.0,6.0,4.0,4.0,5.0,4.0,3.0,4.0,1.0,2.0
f48acf07-0c7a-464e-b42d-7c477cb24782,9a0kku5u,human_1AI,0.0,0.0,3.0,3.0,2.0,6.0,7.0,7.0,6.0,2.0,2.0,2.0,2.0,7.0
